Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
Jubilee Park LR,-33.87556013,151.1783683
Katoomba,-33.71194806,150.3121686
Kellyville,-33.71321913,150.935033
Kembla Grange,-34.47012644,150.8177961
Kiama,-34.67259919,150.8543663
Killara,-33.76569485,151.1620999
Kings Cross,-33.87426901,151.2222047
Kingsgrove,-33.94037591,151.1010846
Kingswood,-33.75836745,150.720071
Kirrawee,-34.03491126,151.0710203
Kogarah,-33.9627467,151.1326877
Koolewong,-33.46613312,151.3184763
Kotara,-32.94136917,151.6974634
Lakemba,-33.919759,151.0761338
Lapstone,-33.77355931,150.6426108
Lawson,-33.71943599,150.4294992
Leichhardt North LR,-33.87498002,151.1550356
Leightonfield,-33.88189412,150.9851028
Leppingon,-33.95443956,150.8082668
Leumeah,-34.05102916,150.8304338
Leura,-33.71212061,150.3311289
Lewisham,-33.8931095,151.1475983
Lewisham West LR,-33.8937862,151.1433429
Lidcombe,-33.86338085,151.0445549
Lilyfield LR,-33.87419537,151.1648238
Linden,-33.71474436,150.5043663
Lindfield,-33.77565442,151.1695097
Lisarow,-33.38218451,151.3701793
Lithgow,-33.48051667,150.1567066
Liverpool,-33.92438493,150.9269976
Lochinvar,-32.72039462,151.4504811
Loftus,-34.04499976,151.0513888
Lysaghts,-34.4548118,150.8752141
Macarthur,-34.0722662,150.7970753
Macdonaldtown,-33.89679186,151.1853862
Macquarie Fields,-33.98496652,150.8789376
Macquarie Park,-33.78539513,151.1284747
Macquarie University,-33.77716806,151.1180933
Maitland,-32.73774765,151.552236
Marayong,-33.74622068,150.9003117
Marion LR,-33.8839155,151.1449963
Marrickville,-33.91375714,151.1532248
Martin Place,-33.8677258,151.211419,
Martins Creek,-32.55848164,151.618412
Marulan,-34.70959939,150.0056691
Mascot,-33.92315955,151.1873924
Meadowbank,-33.81555584,151.089916
Medlow Bath,-33.67295305,150.2803919
Menangle,-34.12585573,150.7440669
Menangle Park,-34.10338507,150.7449509
Merrylands,-33.83669532,150.9926698
Metford,-32.76536099,151.6181329
Milsons Point,-33.84579562,151.212403
Mindaribba,-32.66835055,151.5845537
Minnamurra,-34.62633044,150.8530098
Minto,-34.02750455,150.8426006
Miranda,-34.036075,151.1019708
Mittagong,-34.45240354,150.4483624
Moore Park LR,-33.89342778,151.2210603
Morisset,-33.10903664,151.4882907
Mortdale,-33.97116587,151.0808093
Moss Vale,-34.54838916,150.372103
Mount Colah,-33.67129214,151.1150982
Mount Druitt,-33.76977783,150.8201693
Mount Kurring-gai,-33.65382765,151.1370126
Mount Victoria,-33.58817529,150.256825
Mulgrave,-33.62649899,150.8298983
Museum,-33.87493423,151.2098618
Muswellbrook,-32.26758584,150.8908038
Narara,-33.39459444,151.3444334
Narwee,-33.94783139,151.0706442
Newcastle Interchange,-32.9239171,151.7593884
Newtown,-33.89787696,151.1788814
Niagara Park,-33.38322824,151.3545729
Normanhurst,-33.72090894,151.0971516
North Ryde,-33.79457376,151.1378963
North Strathfield,-33.85916251,151.0885013
North Sydney,-33.84102219,151.2074984
North Wollongong,-34.41208744,150.8913264
Norwest,-33.73431131,150.9629162
Noth Strathfield,-33.85755734,151.0873986
Oak Flats,-34.57173048,150.8202085
Oatley,-33.980259,151.0787615
Olympic Park,-33.8461115,151.070683
Otford,-34.21072283,151.0055213
Ourimbah,-33.35937321,151.3697352
Paddy's Markets,-33.87933704,151.2026206
Padstow,-33.95170664,151.0319304
Panania,-33.95413352,150.9982975
Parramatta,-33.81707893,151.0049168
Paterson,-32.60237058,151.6147645
Pendle Hill,-33.80130891,150.9558506
Pennant Hills,-33.73816108,151.0725647
Penrith,-33.75018886,150.6961967
Penrose,-34.67230549,150.2122744
Penshurst,-33.96631991,151.0887138
Petersham,-33.89402275,151.1557675
Picton,-34.17968277,150.6127042
Point Clare,-33.44630072,151.3285267
